tray_no,tray,cell_id,row,column,label_code,microbe_status,treatment,label_environment,environment_type,watering_rule,ever_visible_emerged,first_visible_emergence_day,first_visible_emergence_day_order,first_visible_emergence_date,possible_day7_bug_eaten,notes
1,Tray 1,11,2,1,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,12,2,2,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,13,2,3,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,14,2,4,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,15,2,5,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,16,2,6,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,17,2,7,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
1,Tray 1,18,2,8,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,19,2,9,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
1,Tray 1,20,2,10,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,21,3,1,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,22,3,2,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,23,3,3,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,24,3,4,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,25,3,5,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
1,Tray 1,26,3,6,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,27,3,7,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,28,3,8,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,29,3,9,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,30,3,10,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,31,4,1,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
1,Tray 1,32,4,2,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,33,4,3,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,34,4,4,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,35,4,5,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,36,4,6,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,37,4,7,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,38,4,8,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,39,4,9,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,40,4,10,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,41,5,1,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,42,5,2,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,43,5,3,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,44,5,4,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,45,5,5,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,46,5,6,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,47,5,7,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,48,5,8,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,49,5,9,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,50,5,10,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,51,6,1,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,52,6,2,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
1,Tray 1,53,6,3,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
1,Tray 1,54,6,4,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,55,6,5,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
1,Tray 1,56,6,6,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,57,6,7,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,58,6,8,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,59,6,9,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,60,6,10,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,61,7,1,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,62,7,2,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,63,7,3,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,64,7,4,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,65,7,5,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
1,Tray 1,66,7,6,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,67,7,7,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
1,Tray 1,68,7,8,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
1,Tray 1,69,7,9,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,No,
1,Tray 1,70,7,10,N/M,No Microbes,Ideal,Inside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,Yes,Possible Day 7 disappearance after earlier emergence. Use this flag only in later adjusted growth-rate analysis.
2,Tray 2,1,1,1,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
2,Tray 2,2,1,2,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
2,Tray 2,3,1,3,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 4,4,2026-07-02,No,
2,Tray 2,4,1,4,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
2,Tray 2,5,1,5,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
2,Tray 2,6,1,6,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
2,Tray 2,7,1,7,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,No,
2,Tray 2,8,1,8,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
2,Tray 2,9,1,9,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
2,Tray 2,10,1,10,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,No,
2,Tray 2,11,2,1,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
2,Tray 2,12,2,2,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,No,
2,Tray 2,13,2,3,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,No,,,,No,
2,Tray 2,14,2,4,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
2,Tray 2,15,2,5,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,No,
2,Tray 2,16,2,6,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,No,
2,Tray 2,17,2,7,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,No,
2,Tray 2,18,2,8,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,No,
2,Tray 2,19,2,9,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,No,
2,Tray 2,20,2,10,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 7,7,2026-07-07,No,
2,Tray 2,21,3,1,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,No,
2,Tray 2,22,3,2,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,No,
2,Tray 2,23,3,3,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,No,,,,No,
2,Tray 2,24,3,4,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,No,
2,Tray 2,25,3,5,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,No,
2,Tray 2,26,3,6,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
2,Tray 2,27,3,7,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
2,Tray 2,28,3,8,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
2,Tray 2,29,3,9,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,No,
2,Tray 2,30,3,10,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
2,Tray 2,31,4,1,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
2,Tray 2,32,4,2,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
2,Tray 2,33,4,3,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,No,,,,No,
2,Tray 2,34,4,4,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 4,4,2026-07-02,No,
2,Tray 2,35,4,5,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,No,
2,Tray 2,36,4,6,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,No,
2,Tray 2,37,4,7,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
2,Tray 2,38,4,8,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,No,
2,Tray 2,39,4,9,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,No,
2,Tray 2,40,4,10,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,No,
2,Tray 2,41,5,1,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,No,
2,Tray 2,42,5,2,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,No,
2,Tray 2,43,5,3,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,No,
2,Tray 2,44,5,4,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,No,
2,Tray 2,45,5,5,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
2,Tray 2,46,5,6,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
2,Tray 2,47,5,7,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,No,
2,Tray 2,48,5,8,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,No,
2,Tray 2,49,5,9,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
2,Tray 2,50,5,10,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,No,
2,Tray 2,51,6,1,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,No,
2,Tray 2,52,6,2,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,No,
2,Tray 2,53,6,3,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,No,
2,Tray 2,54,6,4,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
2,Tray 2,55,6,5,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
2,Tray 2,56,6,6,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
2,Tray 2,57,6,7,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
2,Tray 2,58,6,8,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
2,Tray 2,59,6,9,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,No,
2,Tray 2,60,6,10,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,No,,,,No,
2,Tray 2,61,7,1,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
2,Tray 2,62,7,2,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,No,
2,Tray 2,63,7,3,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,No,,,,No,
2,Tray 2,64,7,4,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,No,
2,Tray 2,65,7,5,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,No,
2,Tray 2,66,7,6,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 3,3,2026-07-01,No,
2,Tray 2,67,7,7,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 6,6,2026-07-04,No,
2,Tray 2,68,7,8,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
2,Tray 2,69,7,9,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
2,Tray 2,70,7,10,N/M,No Microbes,Ideal,Outside,Fixed,Daily watering,Yes,Day 2,2,2026-06-30,No,
3,Tray 3,1,1,1,N/M,No Microbes,Moisture,Outside,Fixed,Scheduled watering,Yes,Day 3,3,2026-07-01,No,
3,Tray 3,2,1,2,N/M,No Microbes,Moisture,Outside,Fixed,Scheduled watering,Yes,Day 3,3,2026-07-01,No,
3,Tray 3,3,1,3,N/M,No Microbes,Moisture,Outside,Fixed,Scheduled watering,Yes,Day 3,3,2026-07-01,No,
3,Tray 3,4,1,4,N/M,No Microbes,Moisture,Outside,Fixed,Scheduled watering,Yes,Day 3,3,2026-07-01,No,
3,Tray 3,5,1,5,N/M,No Microbes,Moisture,Outside,Fixed,Scheduled watering,Yes,Day 2,2,2026-06-30,No,
3,Tray 3,6,1,6,N/M,No Microbes,Moisture,Outside,Fixed,Scheduled watering,Yes,Day 2,2,2026-06-30,No,
3,Tray 3,7,1,7,N/M,No Microbes,Moisture,Outside,Fixed,Scheduled watering,Yes,Day 3,3,2026-07-01,No,
3,Tray 3,8,1,8,N/M,No Microbes,Moisture,Outside,Fixed,Scheduled watering,Yes,Day 2,2,2026-06-30,No,
3,Tray 3,9,1,9,N/M,No Microbes,Moisture,Outside,Fixed,Scheduled watering,Yes,Day 3,3,2026-07-01,No,
3,Tray 3,10,1,10,N/M,No Microbes,Moisture,Outside,Fixed,Scheduled watering,Yes,Day 3,3,2026-07-01,No,
3,Tray 3,11,2,1,N/M,No Microbes,Moisture,Outside,Fixed,Scheduled watering,Yes,Day 2,2,2026-06-30,No,
3,Tray 3,12,2,2,N/M,No Microbes,Moisture,Outside,Fixed,Scheduled watering,Yes,Day 3,3,2026-07-01,No,
3,Tray 3,13,2,3,N/M,No Microbes,Moisture,Outside,Fixed,Scheduled watering,Yes,Day 3,3,2026-07-01,No,
3,Tray 3,14,2,4,N/M,No Microbes,Moisture,Outside,Fixed,Scheduled watering,Yes,Day 3,3,2026-07-01,No,
3,Tray 3,15,2,5,N/M,No Microbes,Moisture,Outside,Fixed,Scheduled watering,Yes,Day 3,3,2026-07-01,No,
3,Tray 3,16,2,6,N/M,No Microbes,Moisture,Outside,Fixed,Scheduled watering,Yes,Day 3,3,2026-07-01,No,
3,Tray 3,17,2,7,N/M,No Microbes,Moisture,Outside,Fixed,Scheduled watering,Yes,Day 3,3,2026-07-01,No,
3,Tray 3,18,2,8,N/M,No Microbes,Moisture,Outside,Fixed,Scheduled watering,Yes,Day 3,3,2026-07-01,No,
3,Tray 3,19,2,9,N/M,No Microbes,Moisture,Outside,Fixed,Scheduled watering,Yes,Day 2,2,2026-06-30,No,
3,Tray 3,20,2,10,N/M,No Microbes,Moisture,Outside,Fixed,Scheduled watering,Yes,Day 2,2,2026-06-30,No,
3,Tray 3,21,3,1,N/M,No Microbes,Moisture,Outside,Fixed,Scheduled watering,Yes,Day 3,3,2026-07-01,No,
3,Tray 3,22,3,2,N/M,No Microbes,Moisture,Outside,Fixed,Scheduled watering,Yes,Day 2,2,2026-06-30,No,
3,Tray 3,23,3,3,N/M,No Microbes,Moisture,Outside,Fixed,Scheduled watering,Yes,Day 4,4,2026-07-02,No,
3,Tray 3,24,3,4,N/M,No Microbes,Moisture,Outside,Fixed,Scheduled watering,Yes,Day 4,4,2026-07-02,No,
3,Tray 3,25,3,5,N/M,No Microbes,Moisture,Outside,Fixed,Scheduled watering,Yes,Day 3,3,2026-07-01,No,
3,Tray 3,26,3,6,N/M,No Microbes,Moisture,Outside,Fixed,Scheduled watering,Yes,Day 2,2,2026-06-30,No,
3,Tray 3,27,3,7,N/M,No Microbes,Moisture,Outside,Fixed,Scheduled watering,Yes,Day 3,3,2026-07-01,No,
3,Tray 3,28,3,8,N/M,No Microbes,Moisture,Outside,Fixed,Scheduled watering,Yes,Day 2,2,2026-06-30,No,
3,Tray 3,29,3,9,N/M,No Microbes,Moisture,Outside,Fixed,Scheduled watering,Yes,Day 3,3,2026-07-01,No,
3,Tray 3,30,3,10,N/M,No Microbes,Moisture,Outside,Fixed,Scheduled watering,Yes,Day 2,2,2026-06-30,No,
3,Tray 3,31,4,1,N/M,No Microbes,Moisture,Outside,Fixed,Scheduled watering,Yes,Day 2,2,2026-06-30,No,
3,Tray 3,32,4,2,N/M,No Microbes,Moisture,Outside,Fixed,Scheduled watering,Yes,Day 3,3,2026-07-01,No,
