package_section,source_script,file_category,original_file_name,package_file_name,original_path,package_path,size_kb,description,copied
Key CSV tables,Script 05 - RGB Growth Rate and Treatment Comparison,CSV table,cell_growth_with_day7_adjustment.csv,S05__cell_growth_with_day7_adjustment.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\05_RGB_Growth_Rate_Treatment_Comparison\_reports\cell_growth_with_day7_adjustment.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\03_Key_CSV_Tables\S05__cell_growth_with_day7_adjustment.csv,3328.84,Day 7 adjusted or possible bug-eaten cell record.,Yes
Key CSV tables,Script 05 - RGB Growth Rate and Treatment Comparison,CSV table,environment_metadata_debug.csv,S05__environment_metadata_debug.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\05_RGB_Growth_Rate_Treatment_Comparison\_reports\environment_metadata_debug.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\03_Key_CSV_Tables\S05__environment_metadata_debug.csv,1.29,Copied workflow output.,Yes
Key CSV tables,Script 05 - RGB Growth Rate and Treatment Comparison,CSV table,group_daily_metrics.csv,S05__group_daily_metrics.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\05_RGB_Growth_Rate_Treatment_Comparison\_reports\group_daily_metrics.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\03_Key_CSV_Tables\S05__group_daily_metrics.csv,27.75,Copied workflow output.,Yes
Key CSV tables,Script 05 - RGB Growth Rate and Treatment Comparison,CSV table,group_growth_metrics.csv,S05__group_growth_metrics.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\05_RGB_Growth_Rate_Treatment_Comparison\_reports\group_growth_metrics.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\03_Key_CSV_Tables\S05__group_growth_metrics.csv,13.59,Group-level growth metrics.,Yes
Key CSV tables,Script 05 - RGB Growth Rate and Treatment Comparison,CSV table,heat_phase_response.csv,S05__heat_phase_response.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\05_RGB_Growth_Rate_Treatment_Comparison\_reports\heat_phase_response.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\03_Key_CSV_Tables\S05__heat_phase_response.csv,1.71,Copied workflow output.,Yes
Key CSV tables,Script 05 - RGB Growth Rate and Treatment Comparison,CSV table,inside_outside_comparison_ideal_moisture.csv,S05__inside_outside_comparison_ideal_moisture.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\05_RGB_Growth_Rate_Treatment_Comparison\_reports\inside_outside_comparison_ideal_moisture.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\03_Key_CSV_Tables\S05__inside_outside_comparison_ideal_moisture.csv,1.63,Inside-versus-Outside comparison for Ideal and Moisture trays.,Yes
Key CSV tables,Script 05 - RGB Growth Rate and Treatment Comparison,CSV table,moisture_phase_response.csv,S05__moisture_phase_response.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\05_RGB_Growth_Rate_Treatment_Comparison\_reports\moisture_phase_response.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\03_Key_CSV_Tables\S05__moisture_phase_response.csv,3.53,Copied workflow output.,Yes
Key CSV tables,Script 05 - RGB Growth Rate and Treatment Comparison,CSV table,possible_day7_bug_eaten_cells.csv,S05__possible_day7_bug_eaten_cells.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\05_RGB_Growth_Rate_Treatment_Comparison\_reports\possible_day7_bug_eaten_cells.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\03_Key_CSV_Tables\S05__possible_day7_bug_eaten_cells.csv,183.77,Day 7 adjusted or possible bug-eaten cell record.,Yes
Key CSV tables,Script 05 - RGB Growth Rate and Treatment Comparison,CSV table,tray_daily_rgb_metrics.csv,S05__tray_daily_rgb_metrics.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\05_RGB_Growth_Rate_Treatment_Comparison\_reports\tray_daily_rgb_metrics.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\03_Key_CSV_Tables\S05__tray_daily_rgb_metrics.csv,26.42,Copied workflow output.,Yes
Key CSV tables,Script 05 - RGB Growth Rate and Treatment Comparison,CSV table,tray_growth_metrics.csv,S05__tray_growth_metrics.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\05_RGB_Growth_Rate_Treatment_Comparison\_reports\tray_growth_metrics.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\03_Key_CSV_Tables\S05__tray_growth_metrics.csv,10.11,Tray-level growth metrics.,Yes
Key CSV tables,Script 06 - MS Cell Grid Detection,CSV table,ms_cell_coordinates.csv,S06__ms_cell_coordinates.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\06_MS_Cell_Grid_Detection\_reports\ms_cell_coordinates.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\03_Key_CSV_Tables\S06__ms_cell_coordinates.csv,5271.33,Copied workflow output.,Yes
Key CSV tables,Script 06 - MS Cell Grid Detection,CSV table,ms_grid_manifest.csv,S06__ms_grid_manifest.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\06_MS_Cell_Grid_Detection\_reports\ms_grid_manifest.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\03_Key_CSV_Tables\S06__ms_grid_manifest.csv,59.29,Processing manifest or file inventory.,Yes
Key CSV tables,Script 07 - MS Vegetation Indices,CSV table,ms_index_cell_results.csv,S07__ms_index_cell_results.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\07_MS_Vegetation_Indices\_reports\ms_index_cell_results.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\03_Key_CSV_Tables\S07__ms_index_cell_results.csv,3204.81,Copied workflow output.,Yes
Key CSV tables,Script 07 - MS Vegetation Indices,CSV table,ms_index_tray_summary.csv,S07__ms_index_tray_summary.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\07_MS_Vegetation_Indices\_reports\ms_index_tray_summary.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\03_Key_CSV_Tables\S07__ms_index_tray_summary.csv,43.18,Copied workflow output.,Yes
Key CSV tables,Script 08 - MS Treatment Comparison,CSV table,heat_phase_response.csv,S08__heat_phase_response.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\08_MS_Treatment_Comparison\_reports\heat_phase_response.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\03_Key_CSV_Tables\S08__heat_phase_response.csv,2.09,Copied workflow output.,Yes
Key CSV tables,Script 08 - MS Treatment Comparison,CSV table,inside_outside_comparison_ideal_moisture.csv,S08__inside_outside_comparison_ideal_moisture.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\08_MS_Treatment_Comparison\_reports\inside_outside_comparison_ideal_moisture.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\03_Key_CSV_Tables\S08__inside_outside_comparison_ideal_moisture.csv,1.25,Inside-versus-Outside comparison for Ideal and Moisture trays.,Yes
Key CSV tables,Script 08 - MS Treatment Comparison,CSV table,moisture_phase_response.csv,S08__moisture_phase_response.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\08_MS_Treatment_Comparison\_reports\moisture_phase_response.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\03_Key_CSV_Tables\S08__moisture_phase_response.csv,4.1,Copied workflow output.,Yes
Key CSV tables,Script 08 - MS Treatment Comparison,CSV table,ms_cell_indices_with_day7_adjustment.csv,S08__ms_cell_indices_with_day7_adjustment.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\08_MS_Treatment_Comparison\_reports\ms_cell_indices_with_day7_adjustment.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\03_Key_CSV_Tables\S08__ms_cell_indices_with_day7_adjustment.csv,4562.24,Day 7 adjusted or possible bug-eaten cell record.,Yes
Key CSV tables,Script 08 - MS Treatment Comparison,CSV table,ms_group_daily_metrics.csv,S08__ms_group_daily_metrics.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\08_MS_Treatment_Comparison\_reports\ms_group_daily_metrics.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\03_Key_CSV_Tables\S08__ms_group_daily_metrics.csv,35.0,Copied workflow output.,Yes
Key CSV tables,Script 08 - MS Treatment Comparison,CSV table,ms_group_growth_metrics.csv,S08__ms_group_growth_metrics.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\08_MS_Treatment_Comparison\_reports\ms_group_growth_metrics.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\03_Key_CSV_Tables\S08__ms_group_growth_metrics.csv,17.82,Group-level growth metrics.,Yes
Key CSV tables,Script 08 - MS Treatment Comparison,CSV table,ms_tray_daily_metrics.csv,S08__ms_tray_daily_metrics.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\08_MS_Treatment_Comparison\_reports\ms_tray_daily_metrics.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\03_Key_CSV_Tables\S08__ms_tray_daily_metrics.csv,32.81,Copied workflow output.,Yes
Key CSV tables,Script 08 - MS Treatment Comparison,CSV table,ms_tray_growth_metrics.csv,S08__ms_tray_growth_metrics.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\08_MS_Treatment_Comparison\_reports\ms_tray_growth_metrics.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\03_Key_CSV_Tables\S08__ms_tray_growth_metrics.csv,8.93,Tray-level growth metrics.,Yes
Key CSV tables,Script 08 - MS Treatment Comparison,CSV table,possible_day7_bug_eaten_ms_cells.csv,S08__possible_day7_bug_eaten_ms_cells.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\08_MS_Treatment_Comparison\_reports\possible_day7_bug_eaten_ms_cells.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\03_Key_CSV_Tables\S08__possible_day7_bug_eaten_ms_cells.csv,200.89,Day 7 adjusted or possible bug-eaten cell record.,Yes
Key CSV tables,Script 09 - Final RGB + MS Synthesis,CSV table,final_combined_tray_synthesis.csv,S09__final_combined_tray_synthesis.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\09_Final_RGB_MS_Synthesis\_reports\final_combined_tray_synthesis.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\03_Key_CSV_Tables\S09__final_combined_tray_synthesis.csv,6.17,Main final tray-level RGB + MS synthesis table.,Yes
Key CSV tables,Script 09 - Final RGB + MS Synthesis,CSV table,final_group_synthesis.csv,S09__final_group_synthesis.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\09_Final_RGB_MS_Synthesis\_reports\final_group_synthesis.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\03_Key_CSV_Tables\S09__final_group_synthesis.csv,4.57,Final group-level RGB + MS comparison table.,Yes
Key CSV tables,Script 09 - Final RGB + MS Synthesis,CSV table,final_inside_outside_synthesis.csv,S09__final_inside_outside_synthesis.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\09_Final_RGB_MS_Synthesis\_reports\final_inside_outside_synthesis.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\03_Key_CSV_Tables\S09__final_inside_outside_synthesis.csv,1.34,Inside-versus-Outside comparison for Ideal and Moisture trays.,Yes
Key CSV tables,Script 09 - Final RGB + MS Synthesis,CSV table,input_file_inventory.csv,S09__input_file_inventory.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\09_Final_RGB_MS_Synthesis\_reports\input_file_inventory.csv,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\03_Key_CSV_Tables\S09__input_file_inventory.csv,1.87,Copied workflow output.,Yes
Charts,Script 05 - RGB Growth Rate and Treatment Comparison,Chart or evidence image,01_microbes_visible_emergence_trend.png,S05__01_microbes_visible_emergence_trend.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\05_RGB_Growth_Rate_Treatment_Comparison\charts\01_microbes_visible_emergence_trend.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\04_Final_Charts\S05__01_microbes_visible_emergence_trend.png,132.2,Visual chart or quality-check evidence image.,Yes
Charts,Script 05 - RGB Growth Rate and Treatment Comparison,Chart or evidence image,02_microbes_adjusted_green_cover_trend.png,S05__02_microbes_adjusted_green_cover_trend.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\05_RGB_Growth_Rate_Treatment_Comparison\charts\02_microbes_adjusted_green_cover_trend.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\04_Final_Charts\S05__02_microbes_adjusted_green_cover_trend.png,139.24,Visual chart or quality-check evidence image.,Yes
Charts,Script 05 - RGB Growth Rate and Treatment Comparison,Chart or evidence image,03_treatment_visible_emergence_trend.png,S05__03_treatment_visible_emergence_trend.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\05_RGB_Growth_Rate_Treatment_Comparison\charts\03_treatment_visible_emergence_trend.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\04_Final_Charts\S05__03_treatment_visible_emergence_trend.png,149.86,Visual chart or quality-check evidence image.,Yes
Charts,Script 05 - RGB Growth Rate and Treatment Comparison,Chart or evidence image,04_treatment_adjusted_green_cover_trend.png,S05__04_treatment_adjusted_green_cover_trend.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\05_RGB_Growth_Rate_Treatment_Comparison\charts\04_treatment_adjusted_green_cover_trend.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\04_Final_Charts\S05__04_treatment_adjusted_green_cover_trend.png,168.59,Visual chart or quality-check evidence image.,Yes
Charts,Script 05 - RGB Growth Rate and Treatment Comparison,Chart or evidence image,05_day7_observed_vs_adjusted_green_cover_by_tray.png,S05__05_day7_observed_vs_adjusted_green_cover_by_tray.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\05_RGB_Growth_Rate_Treatment_Comparison\charts\05_day7_observed_vs_adjusted_green_cover_by_tray.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\04_Final_Charts\S05__05_day7_observed_vs_adjusted_green_cover_by_tray.png,87.88,Day 7 adjusted or possible bug-eaten cell record.,Yes
Charts,Script 05 - RGB Growth Rate and Treatment Comparison,Chart or evidence image,05_treatment_environment_adjusted_green_cover_trend.png,S05__05_treatment_environment_adjusted_green_cover_trend.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\05_RGB_Growth_Rate_Treatment_Comparison\charts\05_treatment_environment_adjusted_green_cover_trend.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\04_Final_Charts\S05__05_treatment_environment_adjusted_green_cover_trend.png,123.58,Visual chart or quality-check evidence image.,Yes
Charts,Script 05 - RGB Growth Rate and Treatment Comparison,Chart or evidence image,06_adjusted_rgb_tray_ranking.png,S05__06_adjusted_rgb_tray_ranking.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\05_RGB_Growth_Rate_Treatment_Comparison\charts\06_adjusted_rgb_tray_ranking.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\04_Final_Charts\S05__06_adjusted_rgb_tray_ranking.png,178.29,Visual chart or quality-check evidence image.,Yes
Charts,Script 05 - RGB Growth Rate and Treatment Comparison,Chart or evidence image,06_day7_observed_vs_adjusted_green_cover_by_tray.png,S05__06_day7_observed_vs_adjusted_green_cover_by_tray.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\05_RGB_Growth_Rate_Treatment_Comparison\charts\06_day7_observed_vs_adjusted_green_cover_by_tray.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\04_Final_Charts\S05__06_day7_observed_vs_adjusted_green_cover_by_tray.png,80.27,Day 7 adjusted or possible bug-eaten cell record.,Yes
Charts,Script 05 - RGB Growth Rate and Treatment Comparison,Chart or evidence image,07_adjusted_rgb_tray_ranking.png,S05__07_adjusted_rgb_tray_ranking.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\05_RGB_Growth_Rate_Treatment_Comparison\charts\07_adjusted_rgb_tray_ranking.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\04_Final_Charts\S05__07_adjusted_rgb_tray_ranking.png,101.92,Visual chart or quality-check evidence image.,Yes
Charts,Script 05 - RGB Growth Rate and Treatment Comparison,Chart or evidence image,07_day7_possible_bug_eaten_cells_by_tray.png,S05__07_day7_possible_bug_eaten_cells_by_tray.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\05_RGB_Growth_Rate_Treatment_Comparison\charts\07_day7_possible_bug_eaten_cells_by_tray.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\04_Final_Charts\S05__07_day7_possible_bug_eaten_cells_by_tray.png,73.63,Day 7 adjusted or possible bug-eaten cell record.,Yes
Charts,Script 05 - RGB Growth Rate and Treatment Comparison,Chart or evidence image,08_day7_possible_bug_eaten_cells_by_tray.png,S05__08_day7_possible_bug_eaten_cells_by_tray.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\05_RGB_Growth_Rate_Treatment_Comparison\charts\08_day7_possible_bug_eaten_cells_by_tray.png,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\10_Final_Figure_Report_Package\Third_Trial_Final_Package\04_Final_Charts\S05__08_day7_possible_bug_eaten_cells_by_tray.png,67.65,Day 7 adjusted or possible bug-eaten cell record.,Yes
