group,day_order,day,calendar_date,days_since_day1,tray_count,mean_observed_ndvi,sd_observed_ndvi,mean_adjusted_ndvi,sd_adjusted_ndvi,mean_observed_ndre,sd_observed_ndre,mean_adjusted_ndre,sd_adjusted_ndre,mean_day7_imputed_cells,group_type
No Microbes,4,Day 4,2026-07-02,3,6,0.3018569329310031,0.012434935452321794,0.3018569329310031,0.012434935452321794,-0.052695634919135516,0.010262399558440402,-0.052695634919135516,0.010262399558440402,0.0,Microbe Status
No Microbes,5,Day 5,2026-07-03,4,6,0.3013254045730545,0.006986930265890923,0.3013254045730545,0.006986930265890923,-0.03896766305635014,0.011354502205148798,-0.03896766305635014,0.011354502205148798,0.0,Microbe Status
No Microbes,6,Day 6,2026-07-04,5,6,0.29893838820003327,0.00403151234256526,0.29893838820003327,0.00403151234256526,-0.051488163399820486,0.004993603254164258,-0.051488163399820486,0.004993603254164258,0.0,Microbe Status
No Microbes,7,Day 7,2026-07-07,8,6,0.2880018536533628,0.007942349548979018,0.28167303816548417,0.01240263956218413,-0.06700018980939469,0.011514076523411364,-0.06988038523600798,0.012803068011537848,17.833333333333332,Microbe Status
Heat,1,Day 1,2026-06-29,0,4,0.32006676420569413,0.01097303208225649,0.32006676420569413,0.01097303208225649,-0.037765067050973516,0.022016230972630856,-0.037765067050973516,0.022016230972630856,0.0,Treatment Type
Heat,2,Day 2,2026-06-30,1,4,0.3100708531481879,0.009114211793241962,0.3100708531481879,0.009114211793241962,-0.02571708279730433,0.019057053492161895,-0.02571708279730433,0.019057053492161895,0.0,Treatment Type
Heat,3,Day 3,2026-07-01,2,4,0.29925174973905083,0.01935958062440211,0.29925174973905083,0.01935958062440211,-0.04104503204206201,0.029098279863458858,-0.04104503204206201,0.029098279863458858,0.0,Treatment Type
Heat,4,Day 4,2026-07-02,3,4,0.31831184971545423,0.01799334281720543,0.31831184971545423,0.01799334281720543,-0.03551992032418116,0.02071232392412075,-0.03551992032418116,0.02071232392412075,0.0,Treatment Type
Heat,5,Day 5,2026-07-03,4,4,0.302434898221067,0.003951614230216471,0.302434898221067,0.003951614230216471,-0.03868938038498783,0.010989089809929112,-0.03868938038498783,0.010989089809929112,0.0,Treatment Type
Heat,6,Day 6,2026-07-04,5,4,0.3051658384501934,0.008699849692963335,0.3051658384501934,0.008699849692963335,-0.03974113275320888,0.014169409803876641,-0.03974113275320888,0.014169409803876641,0.0,Treatment Type
Heat,7,Day 7,2026-07-07,8,4,0.2942004697663443,0.011123089433776198,0.293060718689646,0.009852547201283564,-0.06121807603963779,0.008635701824397025,-0.05761915038814805,0.0070027625640594286,11.0,Treatment Type
Ideal,1,Day 1,2026-06-29,0,4,0.3253756098981414,0.0131895440190493,0.3253756098981414,0.0131895440190493,-0.026647384233209358,0.018834761019969594,-0.026647384233209358,0.018834761019969594,0.0,Treatment Type
Ideal,2,Day 2,2026-06-30,1,4,0.3195592498140675,0.012491740852042377,0.3195592498140675,0.012491740852042377,-0.017444315235271818,0.010094043412067209,-0.017444315235271818,0.010094043412067209,0.0,Treatment Type
Ideal,3,Day 3,2026-07-01,2,4,0.3120744606746095,0.012400940686973325,0.3120744606746095,0.012400940686973325,-0.025190179870670716,0.01571507930494763,-0.025190179870670716,0.01571507930494763,0.0,Treatment Type
Ideal,4,Day 4,2026-07-02,3,4,0.3168468170932361,0.02055865570822423,0.3168468170932361,0.02055865570822423,-0.03195827502965387,0.023314561526604587,-0.03195827502965387,0.023314561526604587,0.0,Treatment Type
Ideal,5,Day 5,2026-07-03,4,4,0.3079229308026177,0.015757929422575808,0.3079229308026177,0.015757929422575808,-0.017812518277995463,0.008658718518188861,-0.017812518277995463,0.008658718518188861,0.0,Treatment Type
Ideal,6,Day 6,2026-07-04,5,4,0.30147409172994744,0.008410628390317063,0.30147409172994744,0.008410628390317063,-0.044487671471766285,0.014118155496276411,-0.044487671471766285,0.014118155496276411,0.0,Treatment Type
Ideal,7,Day 7,2026-07-07,8,4,0.29227414620774134,0.0060895580414028145,0.27618390021047423,0.01602603015661042,-0.057380493031814646,0.011705226862030974,-0.07105159070166071,0.011717860462455746,24.5,Treatment Type
Moisture,1,Day 1,2026-06-29,0,4,0.31909890717693734,0.009531786135120231,0.31909890717693734,0.009531786135120231,-0.039241549946174376,0.01916860530887237,-0.039241549946174376,0.01916860530887237,0.0,Treatment Type
Moisture,2,Day 2,2026-06-30,1,4,0.3003553535257067,0.012848202840177238,0.3003553535257067,0.012848202840177238,-0.05067855530578522,0.021524670580851574,-0.05067855530578522,0.021524670580851574,0.0,Treatment Type
Moisture,3,Day 3,2026-07-01,2,4,0.297430015781096,0.0065490457195166675,0.297430015781096,0.0065490457195166675,-0.045216134338573105,0.009794670027601987,-0.045216134338573105,0.009794670027601987,0.0,Treatment Type
Moisture,4,Day 4,2026-07-02,3,4,0.309085829768862,0.014322079485917249,0.309085829768862,0.014322079485917249,-0.0436864667801793,0.015119141447956204,-0.0436864667801793,0.015119141447956204,0.0,Treatment Type
Moisture,5,Day 5,2026-07-03,4,4,0.3037888424737113,0.003389684796615659,0.3037888424737113,0.003389684796615659,-0.03845623112387585,0.008285621310219841,-0.03845623112387585,0.008285621310219841,0.0,Treatment Type
Moisture,6,Day 6,2026-07-04,5,4,0.3057649896081005,0.005182878188690294,0.3057649896081005,0.005182878188690294,-0.040479259954216584,0.011105352664822437,-0.040479259954216584,0.011105352664822437,0.0,Treatment Type
Moisture,7,Day 7,2026-07-07,8,4,0.288864824708019,0.008807376033322939,0.28826902130884785,0.008872886946739631,-0.060064253841327186,0.017325100473925242,-0.06092347166663131,0.014136394567148798,14.0,Treatment Type
Microbes | Heat,1,Day 1,2026-06-29,0,2,0.3286464197295052,0.004620976256049587,0.3286464197295052,0.004620976256049587,-0.021287517022158524,0.01730942061749985,-0.021287517022158524,0.01730942061749985,0.0,Microbe x Treatment
Microbes | Heat,2,Day 2,2026-06-30,1,2,0.3170120836368629,0.004233782641820902,0.3170120836368629,0.004233782641820902,-0.01007486839101016,0.006596912787203577,-0.01007486839101016,0.006596912787203577,0.0,Microbe x Treatment
Microbes | Heat,3,Day 3,2026-07-01,2,2,0.3143549706254687,0.012347806161378672,0.3143549706254687,0.012347806161378672,-0.01737497440522667,0.012985578991375427,-0.01737497440522667,0.012985578991375427,0.0,Microbe x Treatment
Microbes | Heat,4,Day 4,2026-07-02,3,2,0.3321924073355538,0.010391950949240992,0.3321924073355538,0.010391950949240992,-0.01822883053298156,0.008806771093990891,-0.01822883053298156,0.008806771093990891,0.0,Microbe x Treatment
Microbes | Heat,5,Day 5,2026-07-03,4,2,0.30114564374089237,0.005404668454986826,0.30114564374089237,0.005404668454986826,-0.030471139912073564,0.009502412018852055,-0.030471139912073564,0.009502412018852055,0.0,Microbe x Treatment
Microbes | Heat,6,Day 6,2026-07-04,5,2,0.31264151100601467,0.0014506424442822124,0.31264151100601467,0.0014506424442822124,-0.029041352247233032,0.009415477771204245,-0.029041352247233032,0.009415477771204245,0.0,Microbe x Treatment
Microbes | Heat,7,Day 7,2026-07-07,8,2,0.3011574015021324,0.012484114789392337,0.29951038413814135,0.010154880495772177,-0.05484931429049794,0.007120422478936684,-0.055819545522120095,0.005748308312538667,4.0,Microbe x Treatment
Microbes | Ideal,1,Day 1,2026-06-29,0,2,0.3362047819154603,0.007126542276602692,0.3362047819154603,0.007126542276602692,-0.012302352354371169,0.010583410057673867,-0.012302352354371169,0.010583410057673867,0.0,Microbe x Treatment
Microbes | Ideal,2,Day 2,2026-06-30,1,2,0.3303176954388618,0.001819957816945898,0.3303176954388618,0.001819957816945898,-0.009364119379564969,0.006662262820250098,-0.009364119379564969,0.006662262820250098,0.0,Microbe x Treatment
Microbes | Ideal,3,Day 3,2026-07-01,2,2,0.32069297283887865,0.002672528352537675,0.32069297283887865,0.002672528352537675,-0.013174209040205017,0.012575988007295142,-0.013174209040205017,0.012575988007295142,0.0,Microbe x Treatment
Microbes | Ideal,4,Day 4,2026-07-02,3,2,0.32973364442586894,0.005466522417239187,0.32973364442586894,0.005466522417239187,-0.014124763921056757,0.002613436567843872,-0.014124763921056757,0.002613436567843872,0.0,Microbe x Treatment
Microbes | Ideal,5,Day 5,2026-07-03,4,2,0.31836039679391037,0.012074579582341394,0.31836039679391037,0.012074579582341394,-0.011120619039866126,0.005758940240941454,-0.011120619039866126,0.005758940240941454,0.0,Microbe x Treatment
Microbes | Ideal,6,Day 6,2026-07-04,5,2,0.30617804186684744,0.009682232941992035,0.30617804186684744,0.009682232941992035,-0.03338696200433848,0.009614580817563338,-0.03338696200433848,0.009614580817563338,0.0,Microbe x Treatment
Microbes | Ideal,7,Day 7,2026-07-07,8,2,0.29053757776107103,0.002664769268251285,0.27923915748085293,0.01832300912895903,-0.054601603812937174,0.0049934461133531996,-0.062370160533464454,0.005693229278759664,19.0,Microbe x Treatment
Microbes | Moisture,1,Day 1,2026-06-29,0,2,0.32371296350445067,0.005324795811849435,0.32371296350445067,0.005324795811849435,-0.024069409401168453,0.00047195283063027586,-0.024069409401168453,0.00047195283063027586,0.0,Microbe x Treatment
Microbes | Moisture,2,Day 2,2026-06-30,1,2,0.30783093933548245,0.007010156764929073,0.30783093933548245,0.007010156764929073,-0.034044949838633806,0.003875929901624956,-0.034044949838633806,0.003875929901624956,0.0,Microbe x Treatment
Microbes | Moisture,3,Day 3,2026-07-01,2,2,0.3029839145285742,0.0018622187629966792,0.3029839145285742,0.0018622187629966792,-0.03710994748066042,0.004632765900846517,-0.03710994748066042,0.004632765900846517,0.0,Microbe x Treatment
Microbes | Moisture,4,Day 4,2026-07-02,3,2,0.32099214260067255,0.0027318958012523043,0.32099214260067255,0.0027318958012523043,-0.031888825056583775,0.00037509517644196004,-0.031888825056583775,0.00037509517644196004,0.0,Microbe x Treatment
Microbes | Moisture,5,Day 5,2026-07-03,4,2,0.30481108874082563,0.0023920013372405015,0.30481108874082563,0.0023920013372405015,-0.031421511452728174,0.0027203886597015775,-0.031421511452728174,0.0027203886597015775,0.0,Microbe x Treatment
Microbes | Moisture,6,Day 6,2026-07-04,5,2,0.3091751221035208,0.004477196346514998,0.3091751221035208,0.004477196346514998,-0.03252332390735055,0.010720291608531758,-0.03252332390735055,0.010720291608531758,0.0,Microbe x Treatment
Microbes | Moisture,7,Day 7,2026-07-07,8,2,0.29497834114091737,0.003179493074571151,0.29125862430248944,0.008439967075663489,-0.04687415829394008,0.008955355790853575,-0.05135756374927167,0.0026148629903061226,22.5,Microbe x Treatment
No Microbes | Heat,1,Day 1,2026-06-29,0,2,0.3114871086818831,0.006739949706538716,0.3114871086818831,0.006739949706538716,-0.05424261707978851,0.008275784965715233,-0.05424261707978851,0.008275784965715233,0.0,Microbe x Treatment
No Microbes | Heat,2,Day 2,2026-06-30,1,2,0.30312962265951293,0.006209583850016344,0.30312962265951293,0.006209583850016344,-0.0413592972035985,0.008202384955455473,-0.0413592972035985,0.008202384955455473,0.0,Microbe x Treatment
No Microbes | Heat,3,Day 3,2026-07-01,2,2,0.28414852885263303,0.007712499224213074,0.28414852885263303,0.007712499224213074,-0.06471508967889734,0.011420065550199225,-0.06471508967889734,0.011420065550199225,0.0,Microbe x Treatment
No Microbes | Heat,4,Day 4,2026-07-02,3,2,0.30443129209535463,0.009623356654587023,0.30443129209535463,0.009623356654587023,-0.05281101011538075,0.00367623791964738,-0.05281101011538075,0.00367623791964738,0.0,Microbe x Treatment
No Microbes | Heat,5,Day 5,2026-07-03,4,2,0.3037241527012416,0.003314606387856178,0.3037241527012416,0.003314606387856178,-0.04690762085790209,0.0013514971303912032,-0.04690762085790209,0.0013514971303912032,0.0,Microbe x Treatment
No Microbes | Heat,6,Day 6,2026-07-04,5,2,0.29769016589437214,0.0011895671027195363,0.29769016589437214,0.0011895671027195363,-0.05044091325918474,0.007464856958194271,-0.05044091325918474,0.007464856958194271,0.0,Microbe x Treatment
No Microbes | Heat,7,Day 7,2026-07-07,8,2,0.28724353803055624,0.004660540405893509,0.2866110532411507,0.004658725532491734,-0.06758683778877764,0.003283461108633364,-0.059418755254176,0.01005577900684226,18.0,Microbe x Treatment
No Microbes | Ideal,1,Day 1,2026-06-29,0,2,0.31454643788082254,0.0014215284550020838,0.31454643788082254,0.0014215284550020838,-0.04099241611204754,0.011362937171774307,-0.04099241611204754,0.011362937171774307,0.0,Microbe x Treatment
No Microbes | Ideal,2,Day 2,2026-06-30,1,2,0.30880080418927325,0.0013571709699481988,0.30880080418927325,0.0013571709699481988,-0.02552451109097867,0.00035373869123542516,-0.02552451109097867,0.00035373869123542516,0.0,Microbe x Treatment
No Microbes | Ideal,3,Day 3,2026-07-01,2,2,0.3034559485103403,0.012533657657194565,0.3034559485103403,0.012533657657194565,-0.03720615070113641,0.002280670587423464,-0.03720615070113641,0.002280670587423464,0.0,Microbe x Treatment
No Microbes | Ideal,4,Day 4,2026-07-02,3,2,0.30395998976060323,0.023954348904642524,0.30395998976060323,0.023954348904642524,-0.04979178613825098,0.01875472775055727,-0.04979178613825098,0.01875472775055727,0.0,Microbe x Treatment
No Microbes | Ideal,5,Day 5,2026-07-03,4,2,0.29748546481132504,0.012781970180405782,0.29748546481132504,0.012781970180405782,-0.024504417516124796,0.0035536973393694377,-0.024504417516124796,0.0035536973393694377,0.0,Microbe x Treatment
No Microbes | Ideal,6,Day 6,2026-07-04,5,2,0.2967701415930475,0.005473736151410762,0.2967701415930475,0.005473736151410762,-0.05558838093919409,0.0035529954732166002,-0.05558838093919409,0.0035529954732166002,0.0,Microbe x Treatment
No Microbes | Ideal,7,Day 7,2026-07-07,8,2,0.2940107146544116,0.009596065667029441,0.27312864294009553,0.01993564336180391,-0.06015938225069212,0.018847111248801462,-0.07973302086985698,0.008834193951411268,30.0,Microbe x Treatment
No Microbes | Moisture,1,Day 1,2026-06-29,0,2,0.31448485084942407,0.012611634595295783,0.31448485084942407,0.012611634595295783,-0.05441369049118029,0.013465071634343425,-0.05441369049118029,0.013465071634343425,0.0,Microbe x Treatment
No Microbes | Moisture,2,Day 2,2026-06-30,1,2,0.29287976771593094,0.014918080238450546,0.29287976771593094,0.014918080238450546,-0.06731216077293664,0.016376940339783347,-0.06731216077293664,0.016376940339783347,0.0,Microbe x Treatment
No Microbes | Moisture,3,Day 3,2026-07-01,2,2,0.2918761170336178,0.001348694034516995,0.2918761170336178,0.001348694034516995,-0.0533223211964858,0.00187165740860402,-0.0533223211964858,0.00187165740860402,0.0,Microbe x Treatment
No Microbes | Moisture,4,Day 4,2026-07-02,3,2,0.29717951693705147,0.0063922990182052495,0.29717951693705147,0.0063922990182052495,-0.05548410850377483,0.011352850612301898,-0.05548410850377483,0.011352850612301898,0.0,Microbe x Treatment
No Microbes | Moisture,5,Day 5,2026-07-03,4,2,0.3027665962065969,0.00495663887542196,0.3027665962065969,0.00495663887542196,-0.04549095079502352,0.000777768360597442,-0.04549095079502352,0.000777768360597442,0.0,Microbe x Treatment
No Microbes | Moisture,6,Day 6,2026-07-04,5,2,0.3023548571126802,0.003745047033866305,0.3023548571126802,0.003745047033866305,-0.04843519600108262,0.0013690316764014654,-0.04843519600108262,0.0013690316764014654,0.0,Microbe x Treatment
No Microbes | Moisture,7,Day 7,2026-07-07,8,2,0.28275130827512057,0.00854986016637301,0.2852794183152062,0.011366636258463708,-0.07325434938871431,0.011151880548016732,-0.07048937958399096,0.01505486859732272,5.5,Microbe x Treatment
Heat | Dynamic Heat,1,Day 1,2026-06-29,0,4,0.32006676420569413,0.01097303208225649,0.32006676420569413,0.01097303208225649,-0.037765067050973516,0.022016230972630856,-0.037765067050973516,0.022016230972630856,0.0,Treatment x Environment
Heat | Dynamic Heat,2,Day 2,2026-06-30,1,4,0.3100708531481879,0.009114211793241962,0.3100708531481879,0.009114211793241962,-0.02571708279730433,0.019057053492161895,-0.02571708279730433,0.019057053492161895,0.0,Treatment x Environment
Heat | Dynamic Heat,3,Day 3,2026-07-01,2,4,0.29925174973905083,0.01935958062440211,0.29925174973905083,0.01935958062440211,-0.04104503204206201,0.029098279863458858,-0.04104503204206201,0.029098279863458858,0.0,Treatment x Environment
Heat | Dynamic Heat,4,Day 4,2026-07-02,3,4,0.31831184971545423,0.01799334281720543,0.31831184971545423,0.01799334281720543,-0.03551992032418116,0.02071232392412075,-0.03551992032418116,0.02071232392412075,0.0,Treatment x Environment
Heat | Dynamic Heat,5,Day 5,2026-07-03,4,4,0.302434898221067,0.003951614230216471,0.302434898221067,0.003951614230216471,-0.03868938038498783,0.010989089809929112,-0.03868938038498783,0.010989089809929112,0.0,Treatment x Environment
Heat | Dynamic Heat,6,Day 6,2026-07-04,5,4,0.3051658384501934,0.008699849692963335,0.3051658384501934,0.008699849692963335,-0.03974113275320888,0.014169409803876641,-0.03974113275320888,0.014169409803876641,0.0,Treatment x Environment
Heat | Dynamic Heat,7,Day 7,2026-07-07,8,4,0.2942004697663443,0.011123089433776198,0.293060718689646,0.009852547201283564,-0.06121807603963779,0.008635701824397025,-0.05761915038814805,0.0070027625640594286,11.0,Treatment x Environment
Ideal | Inside,1,Day 1,2026-06-29,0,2,0.3283978092883314,0.018167268846963913,0.3283978092883314,0.018167268846963913,-0.018888178759100656,0.019897175078677148,-0.018888178759100656,0.019897175078677148,0.0,Treatment x Environment
Ideal | Inside,2,Day 2,2026-06-30,1,2,0.31939562995518955,0.013626175319190494,0.31939562995518955,0.013626175319190494,-0.019674715330724436,0.007919121810028743,-0.019674715330724436,0.007919121810028743,0.0,Treatment x Environment
Ideal | Inside,3,Day 3,2026-07-01,2,2,0.3174506592963423,0.007257852137858511,0.3174506592963423,0.007257852137858511,-0.02883012425170034,0.009564819616164788,-0.02883012425170034,0.009564819616164788,0.0,Treatment x Environment
Ideal | Inside,4,Day 4,2026-07-02,3,2,0.32724866590329577,0.008980812746068052,0.32724866590329577,0.008980812746068052,-0.02625146680345223,0.01453631111530871,-0.02625146680345223,0.01453631111530871,0.0,Treatment x Environment
Ideal | Inside,5,Day 5,2026-07-03,4,2,0.31671104824968743,0.014407110662661815,0.31671104824968743,0.014407110662661815,-0.014520003686110205,0.010566396111382699,-0.014520003686110205,0.010566396111382699,0.0,Treatment x Environment
Ideal | Inside,6,Day 6,2026-07-04,5,2,0.296115647469248,0.004548141685040107,0.296115647469248,0.004548141685040107,-0.04914311271526714,0.012667981208626451,-0.04914311271526714,0.012667981208626451,0.0,Treatment x Environment
Ideal | Inside,7,Day 7,2026-07-07,8,2,0.29472472955073625,0.008586296116910619,0.2626574239028352,0.005127103384730996,-0.04895158314279143,0.002996889746055236,-0.07618781044127114,0.013847878620983895,48.0,Treatment x Environment
Ideal | Outside,1,Day 1,2026-06-29,0,2,0.3223534105079514,0.012462255025363305,0.3223534105079514,0.012462255025363305,-0.03440658970731806,0.020676702192777587,-0.03440658970731806,0.020676702192777587,0.0,Treatment x Environment
Ideal | Outside,2,Day 2,2026-06-30,1,2,0.31972286967294555,0.016803304106084632,0.31972286967294555,0.016803304106084632,-0.015213915139819203,0.014935123321514265,-0.015213915139819203,0.014935123321514265,0.0,Treatment x Environment
Ideal | Outside,3,Day 3,2026-07-01,2,2,0.30669826205287665,0.017118981442515363,0.30669826205287665,0.017118981442515363,-0.02155023548964109,0.024421478210883394,-0.02155023548964109,0.024421478210883394,0.0,Treatment x Environment
Ideal | Outside,4,Day 4,2026-07-02,3,2,0.3064449682831764,0.027468639233471388,0.3064449682831764,0.027468639233471388,-0.037665083255855505,0.03590447543370985,-0.037665083255855505,0.03590447543370985,0.0,Treatment x Environment
Ideal | Outside,5,Day 5,2026-07-03,4,2,0.29913481335554803,0.015114501260726203,0.29913481335554803,0.015114501260726203,-0.02110503286988072,0.00836115320981068,-0.02110503286988072,0.00836115320981068,0.0,Treatment x Environment
Ideal | Outside,6,Day 6,2026-07-04,5,2,0.30683253599064686,0.008756638475621378,0.30683253599064686,0.008756638475621378,-0.03983223022826544,0.018729566552973184,-0.03983223022826544,0.018729566552973184,0.0,Treatment x Environment
Ideal | Outside,7,Day 7,2026-07-07,8,2,0.28982356286474636,0.003674538818370106,0.28971037651811327,0.0035144691518861158,-0.06580940292083787,0.010856775389393026,-0.0659153709620503,0.010706913948332298,1.0,Treatment x Environment
Moisture | Inside,1,Day 1,2026-06-29,0,2,0.3254403929625238,0.0028818416441994807,0.3254403929625238,0.0028818416441994807,-0.034314067691801516,0.014960087527121519,-0.034314067691801516,0.014960087527121519,0.0,Treatment x Environment
Moisture | Inside,2,Day 2,2026-06-30,1,2,0.30315122668232236,0.00039204366282104394,0.30315122668232236,0.00039204366282104394,-0.043518084362689696,0.017272965223729606,-0.043518084362689696,0.017272965223729606,0.0,Treatment x Environment
Moisture | Inside,3,Day 3,2026-07-01,2,2,0.2962947866746357,0.007597636568490772,0.2962947866746357,0.007597636568490772,-0.04751579525348327,0.010083325147469423,-0.04751579525348327,0.010083325147469423,0.0,Treatment x Environment
Moisture | Inside,4,Day 4,2026-07-02,3,2,0.3077916818005698,0.0214001664943321,0.3077916818005698,0.0214001664943321,-0.047832921778483806,0.022173262647457455,-0.047832921778483806,0.022173262647457455,0.0,Treatment x Environment
Moisture | Inside,5,Day 5,2026-07-03,4,2,0.3063869791371482,0.00016335576594769178,0.3063869791371482,0.00016335576594769178,-0.039143051117259436,0.00819951745628033,-0.039143051117259436,0.00819951745628033,0.0,Treatment x Environment
Moisture | Inside,6,Day 6,2026-07-04,5,2,0.30285798758268356,0.004456580968188266,0.30285798758268356,0.004456580968188266,-0.04475348119158294,0.006575762692785784,-0.04475348119158294,0.006575762692785784,0.0,Treatment x Environment
Moisture | Inside,7,Day 7,2026-07-07,8,2,0.2907635362020561,0.002781141232723638,0.2893037551215717,0.005675364567344422,-0.05295527225825931,0.017555349633530254,-0.05467627815295206,0.007308233909633883,27.0,Treatment x Environment
Moisture | Outside,1,Day 1,2026-06-29,0,2,0.3127574213913509,0.010168680427645868,0.3127574213913509,0.010168680427645868,-0.044169032200547236,0.02795320633083467,-0.044169032200547236,0.02795320633083467,0.0,Treatment x Environment
Moisture | Outside,2,Day 2,2026-06-30,1,2,0.297559480369091,0.021536193340558576,0.297559480369091,0.021536193340558576,-0.05783902624888074,0.029773975661887987,-0.05783902624888074,0.029773975661887987,0.0,Treatment x Environment
Moisture | Outside,3,Day 3,2026-07-01,2,2,0.2985652448875563,0.008111161296970456,0.2985652448875563,0.008111161296970456,-0.04291647342366295,0.01284443363971192,-0.04291647342366295,0.01284443363971192,0.0,Treatment x Environment
Moisture | Outside,4,Day 4,2026-07-02,3,2,0.31037997773715426,0.012275971674874509,0.31037997773715426,0.012275971674874509,-0.0395400117818748,0.011195507211597518,-0.0395400117818748,0.011195507211597518,0.0,Treatment x Environment
Moisture | Outside,5,Day 5,2026-07-03,4,2,0.3011907058102744,0.0027279933041291114,0.3011907058102744,0.0027279933041291114,-0.037769411130492266,0.011697674476579354,-0.037769411130492266,0.011697674476579354,0.0,Treatment x Environment
Moisture | Outside,6,Day 6,2026-07-04,5,2,0.3086719916335174,0.005188730280836998,0.3086719916335174,0.005188730280836998,-0.03620503871685023,0.015927022624916076,-0.03620503871685023,0.015927022624916076,0.0,Treatment x Environment
Moisture | Outside,7,Day 7,2026-07-07,8,2,0.2869661132139819,0.01451049447366776,0.287234287496124,0.014131238766782737,-0.06717323542439507,0.019751874390693404,-0.06717066518031056,0.01974823951665048,1.0,Treatment x Environment
Microbes | Dynamic Heat,1,Day 1,2026-06-29,0,2,0.3286464197295052,0.004620976256049587,0.3286464197295052,0.004620976256049587,-0.021287517022158524,0.01730942061749985,-0.021287517022158524,0.01730942061749985,0.0,Microbe x Environment
Microbes | Dynamic Heat,2,Day 2,2026-06-30,1,2,0.3170120836368629,0.004233782641820902,0.3170120836368629,0.004233782641820902,-0.01007486839101016,0.006596912787203577,-0.01007486839101016,0.006596912787203577,0.0,Microbe x Environment
Microbes | Dynamic Heat,3,Day 3,2026-07-01,2,2,0.3143549706254687,0.012347806161378672,0.3143549706254687,0.012347806161378672,-0.01737497440522667,0.012985578991375427,-0.01737497440522667,0.012985578991375427,0.0,Microbe x Environment
Microbes | Dynamic Heat,4,Day 4,2026-07-02,3,2,0.3321924073355538,0.010391950949240992,0.3321924073355538,0.010391950949240992,-0.01822883053298156,0.008806771093990891,-0.01822883053298156,0.008806771093990891,0.0,Microbe x Environment
Microbes | Dynamic Heat,5,Day 5,2026-07-03,4,2,0.30114564374089237,0.005404668454986826,0.30114564374089237,0.005404668454986826,-0.030471139912073564,0.009502412018852055,-0.030471139912073564,0.009502412018852055,0.0,Microbe x Environment
Microbes | Dynamic Heat,6,Day 6,2026-07-04,5,2,0.31264151100601467,0.0014506424442822124,0.31264151100601467,0.0014506424442822124,-0.029041352247233032,0.009415477771204245,-0.029041352247233032,0.009415477771204245,0.0,Microbe x Environment
Microbes | Dynamic Heat,7,Day 7,2026-07-07,8,2,0.3011574015021324,0.012484114789392337,0.29951038413814135,0.010154880495772177,-0.05484931429049794,0.007120422478936684,-0.055819545522120095,0.005748308312538667,4.0,Microbe x Environment
Microbes | Inside,1,Day 1,2026-06-29,0,2,0.3343610855085509,0.00973392274015253,0.3343610855085509,0.00973392274015253,-0.014277219844370833,0.013376294445921104,-0.014277219844370833,0.013376294445921104,0.0,Microbe x Environment
