group,tray_count,mean_final_tracked_emergence_percent,sd_final_tracked_emergence_percent,mean_final_observed_green_cover_percent,sd_final_observed_green_cover_percent,mean_final_adjusted_green_cover_percent,sd_final_adjusted_green_cover_percent,mean_day7_imputed_cells,sd_day7_imputed_cells,mean_day7_mean_adjustment_difference_pp,sd_day7_mean_adjustment_difference_pp,mean_emergence_rate_day1_to_final_pp_per_day,sd_emergence_rate_day1_to_final_pp_per_day,mean_observed_green_cover_rate_day1_to_final_pp_per_day,sd_observed_green_cover_rate_day1_to_final_pp_per_day,mean_adjusted_green_cover_rate_day1_to_final_pp_per_day,sd_adjusted_green_cover_rate_day1_to_final_pp_per_day,mean_observed_green_cover_rate_day6_to_day7_pp_per_day,sd_observed_green_cover_rate_day6_to_day7_pp_per_day,mean_adjusted_green_cover_rate_day6_to_day7_pp_per_day,sd_adjusted_green_cover_rate_day6_to_day7_pp_per_day,mean_t50_elapsed_days,sd_t50_elapsed_days,mean_mean_first_visible_emergence_elapsed_days,sd_mean_first_visible_emergence_elapsed_days,mean_overall_observed_rgb_score,sd_overall_observed_rgb_score,mean_overall_adjusted_rgb_score,sd_overall_adjusted_rgb_score,group_type,mean_emergence_rate_day1_to_day7_pp_per_day,mean_observed_green_cover_rate_day1_to_day7_pp_per_day,mean_adjusted_green_cover_rate_day1_to_day7_pp_per_day
No Microbes | Moisture,2,97.14285714285715,2.0203050891044243,4.7457980868573335,1.575770732038434,5.028516297923418,1.9701288883214796,5.5,4.949747468305833,0.2827182110660843,0.3943581562830453,11.875,0.12626906806902588,0.5930968522797821,0.19691519915603872,0.6284366286630427,0.24620996869141942,0.6778797024125705,0.3764464229544448,0.7721191061012653,0.5078991417154601,1.2204545454545455,0.18320493876196925,0.0,0.0,59.66786886746964,19.03346802512989,48.642341820406,25.657796063521666,Microbe x Treatment,11.875,0.5930968522797821,0.6284366286630427
Heat | Dynamic Heat,4,98.92857142857143,1.3677530110804832,4.905214113379103,2.0357667834842066,5.587197141770325,1.4613481376095057,11.0,8.717797887081348,0.681983028391222,0.5920329850113443,11.830357142857142,0.1709691263850611,0.612574410728386,0.25452646796931394,0.6978222892772887,0.18269018548103982,0.4376079577243351,0.3067129706297165,0.6649356338547423,0.12447486487510935,0.6132384781936282,0.1306700519073963,0.0,0.0,75.58955978225576,8.210523900913158,68.06746497642712,8.47160004893397,Treatment x Environment,11.830357142857142,0.612574410728386,0.6978222892772887
Ideal | Inside,2,97.85714285714286,3.0304576336566265,0.6308439993565318,0.7517149390347022,6.100780360216347,2.9070676179486834,48.0,16.97056274847714,5.4699363608598155,3.658782556983386,11.517857142857142,1.3889597487592886,0.0778175023269769,0.09254659650113703,0.7615595474344539,0.36480122312178637,-1.0439530882963224,0.8218356453226218,0.7793590319902827,0.3977585403385069,0.5887799564270151,0.0839593019055922,0.0,0.0,45.59814196248178,16.95036138637196,66.34810130521724,44.174029960108975,Treatment x Environment,11.517857142857142,0.0778175023269769,0.7615595474344539
Ideal | Outside,2,95.0,3.0304576336566265,5.243070780859557,1.7202462797077545,5.245284470165654,1.7233769091473172,1.0,1.4142135623730951,0.0022136893060973276,0.0031306294395631266,11.607142857142858,0.0,0.6551548466582497,0.2147312861744399,0.6554315578215119,0.21512261485438525,0.6986299748137568,0.4865438765156896,0.6993678712491226,0.4875874196622107,1.272727272727273,0.08570991287109683,0.0,0.0,52.85373615321643,16.746836376647334,40.72081958703092,20.60219384954342,Treatment x Environment,11.607142857142858,0.6551548466582497,0.6554315578215119
Moisture | Inside,2,99.28571428571429,1.0101525445522022,3.3993189656619727,3.47997976668512,6.5211366882349004,0.14075511113164083,27.0,25.45584412271571,3.1218177225729273,3.620734877816761,12.053571428571429,0.12626906806902527,0.4247272431943438,0.4350257838161219,0.8149544585159598,0.01756607591097323,-0.21140931973177396,1.6340910189404843,0.8291965877925354,0.4271793930015641,0.8754545454545455,0.30469874025674853,0.0,0.0,65.81078656146266,10.346070509743296,74.19902357791612,10.484809887202221,Treatment x Environment,12.053571428571429,0.4247272431943438,0.8149544585159598
Moisture | Outside,2,95.71428571428572,0.0,3.3609307765883862,0.38272740023106044,3.3628632188594456,0.38546028629929563,1.0,1.4142135623730951,0.0019324422710593346,0.0027328860682351757,11.696428571428573,0.12626906806902716,0.42000385924267514,0.04787525914878978,0.4202454145265575,0.04821686990731915,0.4285541744621039,0.023846879881062922,0.4291983218857904,0.022935917858317844,1.5083333333333333,0.22391714737574012,0.0,0.0,41.03247874212157,7.32095343025101,24.704315571339627,8.195685314351149,Treatment x Environment,11.696428571428573,0.42000385924267514,0.4202454145265575
Microbes | Dynamic Heat,2,98.57142857142857,2.0203050891044243,6.604079182685264,0.7863081493238738,6.791610237554449,0.521099188161739,4.0,5.656854249492381,0.18753105486918542,0.2652089611621351,11.785714285714285,0.25253813613805304,0.8250470962299814,0.09820271248181568,0.8484884780886296,0.06505159233654882,0.7002645794862927,0.04872938633164071,0.7627749311093545,0.039673600722404175,0.7018867924528303,0.1387530287611338,0.0,0.0,82.23406796575213,1.3789012952351283,74.59495293210225,1.7213243924105601,Microbe x Environment,11.785714285714285,0.8250470962299814,0.8484884780886296
Microbes | Inside,2,97.85714285714286,3.0304576336566265,1.0504942022570734,0.15823993064013525,5.332919357999879,1.8211481745967577,40.5,6.363961030678928,4.282425155742806,1.9793881052368933,11.339285714285715,1.1364216126212368,0.13018769487781853,0.018483959931646338,0.6654908393456693,0.2289395532229654,-0.9148568453842498,0.6392659877449572,0.5126182065300188,0.02053004733400717,0.5947058823529412,0.09233982671965517,0.0,0.0,46.053718214002295,17.594643499967365,58.362624458347526,32.880860301249484,Microbe x Environment,11.339285714285715,0.13018769487781853,0.6654908393456693
Microbes | Outside,2,96.42857142857143,1.0101525445522022,4.774885113545473,2.3823608001320298,4.777098802851571,2.385491429571593,1.0,1.4142135623730951,0.0022136893060973276,0.0031306294395631266,11.607142857142858,0.0,0.5965718670463039,0.2975801304658801,0.596848578209566,0.29797145914582546,0.7440424570894678,0.4223209281803512,0.7447803535248336,0.4233644713268723,1.5,0.23570226039551587,0.0,0.0,50.275660322702734,20.392786180986075,37.09893073722689,25.724318182344163,Microbe x Environment,11.607142857142858,0.5965718670463039,0.596848578209566
No Microbes | Dynamic Heat,2,99.28571428571429,1.0101525445522022,3.2063490440729434,0.519796681102588,4.3827840459862015,0.5767383746520583,18.0,0.0,1.1764350019132586,0.056941693549470956,11.875,0.12626906806902716,0.40010172522679055,0.06425595392628564,0.5471561004659478,0.07137366561996938,0.17495133596237739,0.06236972136895709,0.56709633660013,0.08135028588544721,0.5245901639344261,0.02318382889136236,0.0,0.0,68.94505159875939,4.872246237434685,61.53997702075198,6.473690482055106,Microbe x Environment,11.875,0.40010172522679055,0.5471561004659478
No Microbes | Inside,2,99.28571428571429,1.0101525445522022,2.979668762761431,4.0734547750796875,7.288997690451367,1.2266745544835658,34.5,36.062445840513924,4.309328927689936,5.300129329563254,12.232142857142858,0.3788072042070783,0.37235705064350216,0.5090884203856126,0.9110231666047444,0.15342774580979418,-0.3405055626438465,1.8166606765181488,1.0959374132527993,0.04995089999706438,0.8695286195286194,0.3130792650708115,0.0,0.0,65.35521030994215,10.9903526233387,82.18450042478584,21.77797954606171,Microbe x Environment,12.232142857142858,0.37235705064350216,0.9110231666047444
No Microbes | Outside,2,94.28571428571429,2.0203050891044243,3.8291164439024703,0.27938712019321466,3.8310488861735292,0.27665423412497975,1.0,1.4142135623730951,0.0019324422710593346,0.0027328860682351757,11.696428571428573,0.12626906806902716,0.4785868388546209,0.03497358514265047,0.4788283941385033,0.034631974384121064,0.3831416921863929,0.040376068454275424,0.38378583961007934,0.0412870304770205,1.2810606060606062,0.09749502589087258,0.0,0.0,43.610554572635266,3.6750036259122667,28.326204421143654,3.073560981550406,Microbe x Environment,11.696428571428573,0.4785868388546209,0.4788283941385033
