group,day_order,day,calendar_date,days_since_day1,tray_count,mean_tracked_emergence_percent,sd_tracked_emergence_percent,mean_observed_green_cover_percent,sd_observed_green_cover_percent,mean_adjusted_green_cover_percent,sd_adjusted_green_cover_percent,mean_newly_emerged_cells,mean_day7_imputed_cells,group_type
Microbes,5,Day 5,2026-07-03,4,2,97.14285714285715,2.0203050891044243,3.242499148987025,0.22264033117616475,3.242499148987025,0.22264033117616475,0.0,0.0,Microbe Status
Microbes,6,Day 6,2026-07-04,5,2,98.57142857142857,2.0203050891044243,4.503285444226385,0.6401199903289518,4.503285444226385,0.6401199903289518,1.0,0.0,Microbe Status
Microbes,7,Day 7,2026-07-07,8,2,98.57142857142857,2.0203050891044243,6.604079182685264,0.7863081493238738,6.791610237554449,0.5210991881617396,0.0,4.0,Microbe Status
Microbes | Dynamic Heat,1,Day 1,2026-06-29,0,2,4.285714285714286,0.0,0.0037024128454122536,0.000686449469349083,0.0037024128454122536,0.000686449469349083,3.0,0.0,Microbe x Environment
Microbes | Dynamic Heat,2,Day 2,2026-06-30,1,2,70.71428571428572,13.131983079178744,0.5036265471267158,0.1630244573037258,0.5036265471267158,0.1630244573037258,46.5,0.0,Microbe x Environment
Microbes | Dynamic Heat,3,Day 3,2026-07-01,2,2,93.57142857142857,1.0101525445522022,1.3519191850519703,0.15992208365209182,1.3519191850519703,0.15992208365209182,16.0,0.0,Microbe x Environment
Microbes | Dynamic Heat,4,Day 4,2026-07-02,3,2,97.14285714285715,2.0203050891044243,2.58259262919504,0.3465146600013303,2.58259262919504,0.3465146600013303,2.5,0.0,Microbe x Environment
Microbes | Dynamic Heat,5,Day 5,2026-07-03,4,2,97.14285714285715,2.0203050891044243,3.242499148987025,0.22264033117616475,3.242499148987025,0.22264033117616475,0.0,0.0,Microbe x Environment
Microbes | Dynamic Heat,6,Day 6,2026-07-04,5,2,98.57142857142857,2.0203050891044243,4.503285444226385,0.6401199903289518,4.503285444226385,0.6401199903289518,1.0,0.0,Microbe x Environment
Microbes | Dynamic Heat,7,Day 7,2026-07-07,8,2,98.57142857142857,2.0203050891044243,6.604079182685264,0.7863081493238738,6.791610237554449,0.5210991881617396,0.0,4.0,Microbe x Environment
No Microbes | Dynamic Heat,1,Day 1,2026-06-29,0,2,4.285714285714286,2.020305089104421,0.005535242258619018,0.005749049692303258,0.005535242258619018,0.005749049692303258,3.0,0.0,Microbe x Environment
No Microbes | Dynamic Heat,2,Day 2,2026-06-30,1,2,91.42857142857143,2.0203050891044243,0.7612847910509293,0.018414748889485855,0.7612847910509293,0.018414748889485855,61.0,0.0,Microbe x Environment
No Microbes | Dynamic Heat,3,Day 3,2026-07-01,2,2,99.28571428571429,1.0101525445522022,1.5447575854651694,0.0419562129818202,1.5447575854651694,0.0419562129818202,5.5,0.0,Microbe x Environment
No Microbes | Dynamic Heat,4,Day 4,2026-07-02,3,2,99.28571428571429,1.0101525445522022,2.6308501454130147,0.3289126994781875,2.6308501454130147,0.3289126994781875,0.0,0.0,Microbe x Environment
No Microbes | Dynamic Heat,5,Day 5,2026-07-03,4,2,99.28571428571429,1.0101525445522022,3.1785510301577617,0.35265373805756245,3.1785510301577617,0.35265373805756245,0.0,0.0,Microbe x Environment
No Microbes | Dynamic Heat,6,Day 6,2026-07-04,5,2,99.28571428571429,1.0101525445522022,2.681495036185811,0.33268751699571675,2.681495036185811,0.33268751699571675,0.0,0.0,Microbe x Environment
No Microbes | Dynamic Heat,7,Day 7,2026-07-07,8,2,99.28571428571429,1.0101525445522022,3.2063490440729434,0.519796681102588,4.3827840459862015,0.5767383746520583,0.0,18.0,Microbe x Environment
Microbes | Heat,1,Day 1,2026-06-29,0,2,4.285714285714286,0.0,0.0037024128454122536,0.000686449469349083,0.0037024128454122536,0.000686449469349083,3.0,0.0,Microbe x Treatment
Microbes | Heat,2,Day 2,2026-06-30,1,2,70.71428571428572,13.131983079178744,0.5036265471267158,0.1630244573037258,0.5036265471267158,0.1630244573037258,46.5,0.0,Microbe x Treatment
Microbes | Heat,3,Day 3,2026-07-01,2,2,93.57142857142857,1.0101525445522022,1.3519191850519703,0.15992208365209182,1.3519191850519703,0.15992208365209182,16.0,0.0,Microbe x Treatment
Microbes | Heat,4,Day 4,2026-07-02,3,2,97.14285714285715,2.0203050891044243,2.58259262919504,0.3465146600013303,2.58259262919504,0.3465146600013303,2.5,0.0,Microbe x Treatment
Microbes | Heat,5,Day 5,2026-07-03,4,2,97.14285714285715,2.0203050891044243,3.242499148987025,0.22264033117616475,3.242499148987025,0.22264033117616475,0.0,0.0,Microbe x Treatment
Microbes | Heat,6,Day 6,2026-07-04,5,2,98.57142857142857,2.0203050891044243,4.503285444226385,0.6401199903289518,4.503285444226385,0.6401199903289518,1.0,0.0,Microbe x Treatment
Microbes | Heat,7,Day 7,2026-07-07,8,2,98.57142857142857,2.0203050891044243,6.604079182685264,0.7863081493238738,6.791610237554449,0.5210991881617396,0.0,4.0,Microbe x Treatment
No Microbes | Heat,1,Day 1,2026-06-29,0,2,4.285714285714286,2.020305089104421,0.005535242258619018,0.005749049692303258,0.005535242258619018,0.005749049692303258,3.0,0.0,Microbe x Treatment
No Microbes | Heat,2,Day 2,2026-06-30,1,2,91.42857142857143,2.0203050891044243,0.7612847910509293,0.018414748889485855,0.7612847910509293,0.018414748889485855,61.0,0.0,Microbe x Treatment
No Microbes | Heat,3,Day 3,2026-07-01,2,2,99.28571428571429,1.0101525445522022,1.5447575854651694,0.0419562129818202,1.5447575854651694,0.0419562129818202,5.5,0.0,Microbe x Treatment
No Microbes | Heat,4,Day 4,2026-07-02,3,2,99.28571428571429,1.0101525445522022,2.6308501454130147,0.3289126994781875,2.6308501454130147,0.3289126994781875,0.0,0.0,Microbe x Treatment
No Microbes | Heat,5,Day 5,2026-07-03,4,2,99.28571428571429,1.0101525445522022,3.1785510301577617,0.35265373805756245,3.1785510301577617,0.35265373805756245,0.0,0.0,Microbe x Treatment
No Microbes | Heat,6,Day 6,2026-07-04,5,2,99.28571428571429,1.0101525445522022,2.681495036185811,0.33268751699571675,2.681495036185811,0.33268751699571675,0.0,0.0,Microbe x Treatment
No Microbes | Heat,7,Day 7,2026-07-07,8,2,99.28571428571429,1.0101525445522022,3.2063490440729434,0.519796681102588,4.3827840459862015,0.5767383746520583,0.0,18.0,Microbe x Treatment
Heat,1,Day 1,2026-06-29,0,4,4.285714285714286,1.1664236870396085,0.004618827552015635,0.003506282404316462,0.004618827552015635,0.003506282404316462,3.0,0.0,Treatment Type
Heat,2,Day 2,2026-06-30,1,4,81.07142857142857,14.208122616986374,0.6324556690888226,0.1763555568710993,0.6324556690888226,0.1763555568710993,53.75,0.0,Treatment Type
Heat,3,Day 3,2026-07-01,2,4,96.42857142857143,3.4006802040680264,1.4483383852585698,0.1466538388193137,1.4483383852585698,0.1466538388193137,10.75,0.0,Treatment Type
Heat,4,Day 4,2026-07-02,3,4,98.21428571428572,1.7975796274454146,2.6067213873040274,0.2772392236230858,2.6067213873040274,0.2772392236230858,1.25,0.0,Treatment Type
Heat,5,Day 5,2026-07-03,4,4,98.21428571428572,1.7975796274454146,3.2105250895723936,0.2435999028010244,3.2105250895723936,0.2435999028010244,0.0,0.0,Treatment Type
Heat,6,Day 6,2026-07-04,5,4,98.92857142857143,1.3677530110804832,3.5923902402060985,1.1312758102856195,3.5923902402060985,1.1312758102856195,0.5,0.0,Treatment Type
Heat,7,Day 7,2026-07-07,8,4,98.92857142857143,1.3677530110804832,4.905214113379103,2.0357667834842066,5.587197141770325,1.4613481376095054,0.0,11.0,Treatment Type
Heat | Dynamic Heat,1,Day 1,2026-06-29,0,4,4.285714285714286,1.1664236870396085,0.004618827552015635,0.003506282404316462,0.004618827552015635,0.003506282404316462,3.0,0.0,Treatment x Environment
Heat | Dynamic Heat,2,Day 2,2026-06-30,1,4,81.07142857142857,14.208122616986374,0.6324556690888226,0.1763555568710993,0.6324556690888226,0.1763555568710993,53.75,0.0,Treatment x Environment
Heat | Dynamic Heat,3,Day 3,2026-07-01,2,4,96.42857142857143,3.4006802040680264,1.4483383852585698,0.1466538388193137,1.4483383852585698,0.1466538388193137,10.75,0.0,Treatment x Environment
Heat | Dynamic Heat,4,Day 4,2026-07-02,3,4,98.21428571428572,1.7975796274454146,2.6067213873040274,0.2772392236230858,2.6067213873040274,0.2772392236230858,1.25,0.0,Treatment x Environment
Heat | Dynamic Heat,5,Day 5,2026-07-03,4,4,98.21428571428572,1.7975796274454146,3.2105250895723936,0.2435999028010244,3.2105250895723936,0.2435999028010244,0.0,0.0,Treatment x Environment
Heat | Dynamic Heat,6,Day 6,2026-07-04,5,4,98.92857142857143,1.3677530110804832,3.5923902402060985,1.1312758102856195,3.5923902402060985,1.1312758102856195,0.5,0.0,Treatment x Environment
Heat | Dynamic Heat,7,Day 7,2026-07-07,8,4,98.92857142857143,1.3677530110804832,4.905214113379103,2.0357667834842066,5.587197141770325,1.4613481376095054,0.0,11.0,Treatment x Environment
